id,Vertices,Parameter,Probability,Creation Time,Analysis Time,Timestamp,Exit via Timeout,Time Limit
49,20,11,0.23333333333333334,0.04,0.2046,09:14:14,False,800s
50,20,10,0.24444444444444444,0.0851,0.3101,09:14:15,False,800s
51,20,11,0.26666666666666666,0.0327,0.1408,09:14:15,False,800s
52,20,12,0.26666666666666666,0.0608,0.2177,09:14:15,False,800s
53,20,10,0.3,0.0385,0.1694,09:14:15,False,800s
54,50,11,0.2,2.0394,1100.2456,09:47:59,True,1100s
55,50,12,0.2,3.5423,1100.333,10:06:23,True,1100s
56,45,20,0.4,1.7587,2107.4181,13:06:39,True,1050s
57,20,10,0.4222222222222222,0.031,0.2051,13:50:48,False,800s
58,20,10,0.4444444444444445,0.0791,0.2758,13:50:49,False,800s
59,20,10,0.45555555555555555,0.0474,0.1823,13:50:49,False,800s
60,20,10,0.45555555555555555,0.0362,0.2541,13:52:57,False,800s
61,20,10,0.4888888888888889,0.0762,0.2972,13:52:57,False,800s
62,20,10,0.4,0.0588,0.2461,13:59:46,False,800s
63,20,10,0.4444444444444445,0.0545,0.2597,13:59:46,False,800s
64,20,10,0.47777777777777775,0.0376,0.1691,13:59:46,False,800s
65,20,10,0.4888888888888889,0.0396,0.1791,13:59:47,False,800s
66,20,10,0.41111111111111115,0.045,0.2276,14:11:14,False,800s
67,20,10,0.45555555555555555,0.07,0.7388,14:11:15,False,800s
66,20,10,0.43333333333333335,0.0389,0.1999,14:11:57,False,800s
67,20,10,0.4666666666666667,0.0651,0.2204,14:11:57,False,800s
68,20,10,0.47777777777777775,0.0464,0.1856,14:14:13,False,800s
69,40,10,0.4,0.9322,205.4225,14:20:38,False,1000s
70,40,10,0.41111111111111115,1.039,8.0699,14:20:47,False,1000s
71,40,10,0.4222222222222222,2.1926,6.093,14:20:55,False,1000s
72,50,20,0.4,2.9646,16.2533,15:37:39,False,1100s
73,50,21,0.4,3.9181,58.6303,15:38:42,False,1100s
74,50,20,0.4,3.4746,18.243,15:39:36,False,1100s
75,50,21,0.4,2.8504,1100.3779,15:58:01,True,1100s
76,50,22,0.4,3.0902,25.5394,15:58:29,False,1100s
77,50,23,0.4,2.5228,16.5643,15:58:48,False,1100s
78,50,24,0.4,2.8981,16.9778,15:59:08,False,1100s
79,50,25,0.4,2.6803,1100.4684,16:17:31,True,1100s
80,50,26,0.4,2.8624,17.2061,16:17:52,False,1100s
