Vertices,Avg Creation Time,Avg Analysis Time With Old algorithm,Avg Analysis Time With New algorithm,Probability,Time of computation
60,0.0,0.0,0.0,0.01,24_03_2026_16h45_32
60,0.0,0.0,0.0,0.03111111111111111,24_03_2026_16h45_32
60,0.0,0.0,0.0,0.052222222222222225,24_03_2026_16h45_32
60,0.0,0.0,0.0,0.07333333333333333,24_03_2026_16h45_32
60,0.0,0.0,0.0,0.09444444444444444,24_03_2026_16h45_32
60,0.0,0.0,0.0,0.11555555555555555,24_03_2026_16h45_32
60,5.154,245.486,240.037,0.1366666666666667,24_03_2026_16h45_32
60,0.0,0.0,0.0,0.1577777777777778,24_03_2026_16h45_32
40,1.035,5.46,0.611,0.09444444444444444,17h50_58,False
40,0.953,6.561,6.526,0.11555555555555555,17h51_26,False
40,1.14,5.191,0.567,0.1366666666666667,17h51_54,False
40,0.966,1004.761,1000.031,0.1577777777777778,18h25_21,True
40,0.897,4.546,0.477,0.1788888888888889,18h25_39,False
40,0.975,338.187,334.142,0.2,18h59_19,True
