id,Vertices,Parameter,Probability,Creation Time,Analysis Time,Timestamp,Exit via Timeout,Time Limit
,150,100,0.1,0.114,25.126,09:30:42,,150s
,150,100,0.1,0.077,22.802,09:32:05,,150s
,150,100,0.6,22.821,23.577,09:33:10,,150s
,150,100,0.5,2.614,22.628,09:40:20,,150s
,150,100,0.5,1.822,22.112,09:40:44,,150s
,150,100,0.5,1.718,26.424,09:44:22,,150s
,150,100,0.5,2.144,21.682,09:45:40,,150s
,150,100,0.5,1.439,21.444,09:46:03,,150s
,150,100,0.55,5.285,21.222,09:46:29,,150s
,150,100,0.55,4.97,21.009,09:46:55,,150s
,150,100,0.6,17.764,21.282,09:47:35,,150s
,150,100,0.6,20.305,22.919,09:48:18,,150s
,150,100,0.61,55.673,21.707,09:53:44,,150s
,150,100,0.61,39.163,21.467,09:54:47,,150s
,150,100,0.63,63.558,21.748,09:56:15,,150s
,150,100,0.63,55.393,21.665,09:57:35,,150s
,150,100,0.65,85.702,22.088,09:59:26,,150s
,150,100,0.65,103.344,18.197,10:01:30,,150s
,150,100,0.66,137.134,24.267,10:05:21,,150s
,150,100,0.67,199.893,23.672,10:09:08,,150s
,150,100,0.68,256.241,22.159,10:13:49,,150s
,150,100,0.66,119.594,21.913,10:18:25,,150s
,150,100,0.67,120.516,21.427,10:20:47,,150s
,150,100,0.68,372.213,21.48,10:27:21,,150s
,150,100,0.69,399.401,21.686,10:34:22,,150s
,150,100,0.66,100.656,20.722,11:25:55,,150s
,150,100,0.66,0.306,23.112,11:58:10,,150s
,150,100,0.67,0.221,21.802,11:58:39,,150s
,150,100,0.68,0.252,21.312,11:59:08,,150s
,150,100,0.69,0.249,22.412,11:59:38,,150s
,150,100,0.7,0.248,23.831,12:00:10,,150s
,150,100,0.1,0.113,21.428,12:02:19,,150s
,150,100,0.2,0.118,21.626,12:02:40,,150s
,150,100,0.3,0.134,21.122,12:03:02,,150s
,150,100,0.9,0.358,24.869,12:04:07,,150s
,200,100,0.9,0.417,41.553,12:05:05,,150s
,300,100,0.9,0.68,99.588,12:07:22,,150s
,300,100,0.9,0.725,98.948,12:09:19,,150s
