ID,Vertices,Parameter,Probability,Creation Time,Analysis Time,Timestamp,Exit via Timeout,Time Limit
,60,10,0.2,,,08:58:02,,Nones
,20,10,0.2,,,09:02:56,,Nones
,20,11,0.2,,,09:02:56,,Nones
,20,12,0.2,,,09:02:56,,Nones
,20,10,0.2111111111111111,,,09:02:56,,Nones
,20,12,0.2111111111111111,,,09:02:56,,Nones
,20,10,0.22222222222222224,,,09:02:56,,Nones
,20,11,0.22222222222222224,,,09:02:56,,Nones
,20,12,0.22222222222222224,,,09:02:56,,Nones
,20,11,0.23333333333333334,,,09:02:56,,Nones
,20,10,0.24444444444444444,,,09:02:57,,Nones
,20,11,0.24444444444444444,,,09:02:57,,Nones
,20,12,0.24444444444444444,,,09:02:57,,Nones
,20,10,0.25555555555555554,,,09:02:57,,Nones
,20,11,0.25555555555555554,,,09:02:57,,Nones
,20,10,0.26666666666666666,,,09:02:58,,Nones
,20,12,0.26666666666666666,,,09:02:58,,Nones
,20,10,0.2777777777777778,,,09:02:58,,Nones
,20,11,0.2777777777777778,,,09:02:58,,Nones
,20,12,0.2777777777777778,,,09:02:58,,Nones
,20,11,0.28888888888888886,,,09:02:58,,Nones
,20,10,0.3,,,09:02:59,,Nones
,20,11,0.3,,,09:02:59,,Nones
,20,10,0.2,,,09:07:18,,Nones
,20,12,0.2,,,09:07:19,,Nones
,20,10,0.2111111111111111,,,09:07:19,,Nones
,20,11,0.2111111111111111,,,09:07:19,,Nones
,20,12,0.2111111111111111,,,09:07:19,,Nones
,20,10,0.22222222222222224,,,09:07:19,,Nones
,20,11,0.22222222222222224,,,09:07:19,,Nones
,20,12,0.22222222222222224,,,09:07:19,,Nones
,20,10,0.23333333333333334,,,09:07:19,,Nones
,20,11,0.23333333333333334,,,09:07:19,,Nones
,20,12,0.23333333333333334,,,09:07:19,,Nones
,20,10,0.24444444444444444,,,09:07:19,,Nones
,20,11,0.24444444444444444,,,09:07:19,,Nones
,20,12,0.24444444444444444,,,09:07:19,,Nones
,20,10,0.25555555555555554,,,09:07:19,,Nones
,20,12,0.25555555555555554,,,09:07:19,,Nones
,20,10,0.26666666666666666,,,09:07:19,,Nones
,20,11,0.26666666666666666,,,09:07:19,,Nones
,20,12,0.26666666666666666,,,09:07:19,,Nones
,20,10,0.2777777777777778,,,09:07:19,,Nones
,20,11,0.2777777777777778,,,09:07:19,,Nones
,20,12,0.2777777777777778,,,09:07:19,,Nones
,20,10,0.28888888888888886,,,09:07:19,,Nones
,20,12,0.28888888888888886,,,09:07:19,,Nones
,20,10,0.3,,,09:07:19,,Nones
,20,12,0.3,,,09:07:20,,Nones
,20,10,0.2,,,09:14:14,,Nones
,20,11,0.2,,,09:14:14,,Nones
,20,12,0.2,,,09:14:14,,Nones
,20,10,0.2111111111111111,,,09:14:14,,Nones
,20,11,0.2111111111111111,,,09:14:14,,Nones
,20,12,0.2111111111111111,,,09:14:14,,Nones
,20,10,0.22222222222222224,,,09:14:14,,Nones
,20,11,0.22222222222222224,,,09:14:14,,Nones
,20,12,0.22222222222222224,,,09:14:14,,Nones
,20,10,0.23333333333333334,,,09:14:14,,Nones
,20,12,0.23333333333333334,,,09:14:14,,Nones
,20,11,0.24444444444444444,,,09:14:15,,Nones
,20,12,0.24444444444444444,,,09:14:15,,Nones
,20,10,0.25555555555555554,,,09:14:15,,Nones
,20,11,0.25555555555555554,,,09:14:15,,Nones
,20,12,0.25555555555555554,,,09:14:15,,Nones
,20,10,0.26666666666666666,,,09:14:15,,Nones
,20,10,0.2777777777777778,,,09:14:15,,Nones
,20,11,0.2777777777777778,,,09:14:15,,Nones
,20,12,0.2777777777777778,,,09:14:15,,Nones
,20,10,0.28888888888888886,,,09:14:15,,Nones
,20,11,0.28888888888888886,,,09:14:15,,Nones
,20,12,0.28888888888888886,,,09:14:15,,Nones
,20,11,0.3,,,09:14:15,,Nones
,20,12,0.3,,,09:14:15,,Nones
,20,10,0.2,,,09:24:03,,Nones
,20,11,0.2,,,09:24:03,,Nones
,20,12,0.2,,,09:24:03,,Nones
,20,10,0.2111111111111111,,,09:24:03,,Nones
,20,11,0.2111111111111111,,,09:24:03,,Nones
,20,12,0.2111111111111111,,,09:24:03,,Nones
,20,10,0.22222222222222224,,,09:24:03,,Nones
,20,11,0.22222222222222224,,,09:24:03,,Nones
,20,12,0.22222222222222224,,,09:24:03,,Nones
,20,10,0.23333333333333334,,,09:24:03,,Nones
,20,11,0.23333333333333334,,,09:24:03,,Nones
,20,12,0.23333333333333334,,,09:24:03,,Nones
,20,10,0.24444444444444444,,,09:24:03,,Nones
,20,11,0.24444444444444444,,,09:24:03,,Nones
,20,12,0.24444444444444444,,,09:24:03,,Nones
,20,10,0.25555555555555554,,,09:24:03,,Nones
,20,12,0.25555555555555554,,,09:24:03,,Nones
,20,10,0.26666666666666666,,,09:24:03,,Nones
,20,11,0.26666666666666666,,,09:24:03,,Nones
,20,12,0.26666666666666666,,,09:24:03,,Nones
,20,10,0.2777777777777778,,,09:24:03,,Nones
,20,11,0.2777777777777778,,,09:24:03,,Nones
,20,10,0.28888888888888886,,,09:24:04,,Nones
,20,11,0.28888888888888886,,,09:24:04,,Nones
,20,10,0.3,,,09:24:04,,Nones
,20,11,0.3,,,09:24:04,,Nones
,20,12,0.3,,,09:24:04,,Nones
,50,10,0.2,,,09:29:37,,Nones
,20,10,0.4,,,13:50:48,,Nones
,20,10,0.41111111111111115,,,13:50:48,,Nones
,20,10,0.43333333333333335,,,13:50:48,,Nones
,20,10,0.4666666666666667,,,13:50:49,,Nones
,20,10,0.47777777777777775,,,13:50:49,,Nones
,20,10,0.4888888888888889,,,13:50:49,,Nones
,20,10,0.5,,,13:50:49,,Nones
,20,10,0.4,,,13:52:56,,Nones
,20,10,0.41111111111111115,,,13:52:56,,Nones
,20,10,0.4222222222222222,,,13:52:56,,Nones
,20,10,0.43333333333333335,,,13:52:56,,Nones
,20,10,0.4444444444444445,,,13:52:56,,Nones
,20,10,0.4666666666666667,,,13:52:57,,Nones
,20,10,0.47777777777777775,,,13:52:57,,Nones
,20,10,0.5,,,13:52:57,,Nones
,20,10,0.41111111111111115,,,13:59:46,,Nones
,20,10,0.4222222222222222,,,13:59:46,,Nones
,20,10,0.43333333333333335,,,13:59:46,,Nones
,20,10,0.45555555555555555,,,13:59:46,,Nones
,20,10,0.4666666666666667,,,13:59:46,,Nones
,20,10,0.5,,,13:59:47,,Nones
,20,10,0.4,,,14:11:14,,Nones
,20,10,0.4222222222222222,,,14:11:14,,Nones
,20,10,0.43333333333333335,,,14:11:14,,Nones
,20,10,0.4444444444444445,,,14:11:14,,Nones
,20,10,0.4666666666666667,,,14:11:15,,Nones
,20,10,0.47777777777777775,,,14:11:15,,Nones
,20,10,0.4888888888888889,,,14:11:15,,Nones
,20,10,0.5,,,14:11:15,,Nones
,20,10,0.4,,,14:11:56,,Nones
,20,10,0.41111111111111115,,,14:11:56,,Nones
,20,10,0.4222222222222222,,,14:11:56,,Nones
,20,10,0.4444444444444445,,,14:11:57,,Nones
,20,10,0.45555555555555555,,,14:11:57,,Nones
,20,10,0.47777777777777775,,,14:11:57,,Nones
,20,10,0.4888888888888889,,,14:11:57,,Nones
,20,10,0.5,,,14:11:57,,Nones
,20,10,0.4,,,14:14:12,,Nones
,20,10,0.41111111111111115,,,14:14:12,,Nones
,20,10,0.4222222222222222,,,14:14:12,,Nones
,20,10,0.43333333333333335,,,14:14:12,,Nones
,20,10,0.4444444444444445,,,14:14:12,,Nones
,20,10,0.45555555555555555,,,14:14:12,,Nones
,20,10,0.4666666666666667,,,14:14:12,,Nones
